id,titles,authors,info,fullurl,cultural_group
52,Return to Sender (Hardcover),Julia Alvarez,"Julia Alvarez (born March 27, 1950) is a Dominican-American poet, novelist, and essayist.  She rose to prominence with the novels How the Garc√≠a Girls Lost Their Accents (1991), In the Time of the Butterflies (1994), and Yo! (1997). Her publications as a poet include Homecoming (1984) and The Woman I Kept to Myself (2004), and as an essayist the autobiographical compilation Something to Declare (1998). Many literary critics regard her to be one of the most significant Latina writers and she has achieved critical and commercial success on an international scale.
Born in New York, she spent the first ten years of her childhood in the Dominican Republic, until her father's involvement in a political rebellion forced her family to flee the country. Many of Alvarez's works are influenced by her experiences as a Dominican in the United States, and focus heavily on issues of assimilation and identity. Her cultural upbringing as both a Dominican and an American is evident in the combination of personal and political tone in her writing. She is known for works that examine cultural expectations of women both in the Dominican Republic and the United States, and for rigorous investigations of cultural stereotypes. In recent years, Alvarez has expanded her subject matter with works such as In the Name of Salom√© (2000), a novel with Cuban rather than solely Dominican characters and fictionalized versions of historical figures.
In addition to her successful writing career, Alvarez is the current writer-in-residence at Middlebury College.",https://en.wikipedia.org/wiki/Julia_Alvarez,Hispanic
53,A Chair for My Mother (Paperback),Vera B. Williams,"Vera Baker Williams (January 28, 1927 - October 16, 2015) was an American children's writer and illustrator. Her best known work, A Chair for My Mother, has won multiple awards and was featured on the children's television show Reading Rainbow. For her lifetime contribution as a children's illustrator she was U.S. nominee in 2004 for the biennial, international Hans Christian Andersen Award, the highest recognition available to creators of children's books. Additionally, she was awarded the 2009 NSK Neustadt Prize for Children's Literature.",https://en.wikipedia.org/wiki/Vera_Williams,Hispanic
54,"Four Feet, Two Sandals (Hardcover)",Karen Lynn Williams,Karen Lynn Williams is an American writer of children's literature. She is best known for her books about the difficulties of children in developing countries.,https://en.wikipedia.org/wiki/Karen_Lynn_Williams,Middle Eastern
55,Silent Music: A Story of Baghdad (Hardcover),James Rumford,"James Rumford: No information available.
",No URL available,Middle Eastern
56,Chato's Kitchen (Paperback),Gary Soto,"Gary Anthony Soto (born April 12, 1952) is an American poet, novelist, and memoirist.",https://en.wikipedia.org/wiki/Gary_Soto,Hispanic
57,Just in Case (Hardcover),Yuyi Morales,"Yuyi Morales (born in Xalapa, Veracruz, Mexico on November 7, 1968) is an author and illustrator of many notable and award-winning children's books.  Some of her most famous books include  Just a Minute: A Trickster Tale and Counting Book, Little Night, and Viva Frida, which received the 2015 Pura Belpre Medal for illustration as well as the 2015 Caldecott Award Honor. Morales is the  first Latina to receive the prestigious Caldecott Award.",https://en.wikipedia.org/wiki/Yuyi_Morales,Hispanic
58,My People (Hardcover),Langston Hughes,"James Mercer Langston Hughes (February 1, 1901 -May 22, 1967) was an American poet, social activist, novelist, playwright, and columnist from Joplin, Missouri. He moved to New York City as a young man, where he made his career. One of the earliest innovators of the then-new literary art form called jazz poetry, Hughes is best known as a leader of the Harlem Renaissance in New York City. He famously wrote about the period that ""the negro was in vogue"", which was later paraphrased as ""when Harlem was in vogue"".",https://en.wikipedia.org/wiki/Langston_Hughes,Black/African-American
59,"Bad News for Outlaws: The Remarkable Life of Bass Reeves, Deputy U. S. Marshal (Hardcover)",Vaunda Micheaux Nelson,"Vaunda Micheaux Nelson is an American writer known for her fiction and nonfiction books for children and young adults. She was the winner of the 2010 Coretta Scott King Award and Gelett Burgess Children's Book Honor for her non-fiction book Bad News for Outlaws: The Remarkable Life of Bass Reeves, Deputy U.S. Marshal about the life of Bass Reeves.  Nelson is also the author of The Book Itch: Freedom, Truth & Harlem's Greatest Bookstore. Her book Who Will I Be, Lord? received a Charlotte Zolotow Award Commendation in 2010.She is a youth services librarian at the public library in Rio Rancho, New Mexico, where she lives with her husband. She is the grand-niece of brothers Solomon Lightfoot Michaux, better known as Elder Michaux, minister and advisor to presidents, and Lewis H Michaux, the pioneer Harlem bookseller.",https://en.wikipedia.org/wiki/Vaunda_Micheaux_Nelson,Black/African-American
60,"My Colors, My World (Hardcover)",Maya Christina Gonzalez,"Maya Christina Gonzalez: No information available.
",No URL available,Hispanic
61,Bird (Hardcover),Zetta Elliott,"Zetta Elliott: No information available.
",No URL available,Black/African-American
62,Cendrillon: A Caribbean Cinderella (Paperback),Robert D. San Souci,"Robert Daniel San Souci (October 10, 1946 December 19, 2014) was a multiple award-winning children's book author, who resided in San Francisco, California. He often worked with his brother, Daniel San Souci, a children's book illustrator. He was a consultant to Disney Studios and was instrumental in the production of the film Mulan, for which he wrote the story. He studied folklore in graduate school.  He died after suffering a head injury while falling from a high height in San Francisco in December 2014.",https://en.wikipedia.org/wiki/Robert_D._San_Souci,West Indian
63,One Green Apple (Hardcover),Eve Bunting,"Anne Evelyn Bunting (Bolton) (born December 19, 1928), also known as Eve Bunting, is a Northern Ireland-born American writer of more than 250 books. Her work covers a broad array of subjects and includes fiction and non-fiction books. Her novels are primarily aimed at children and young adults, but she has also written the text for picture books. While many of her books are set in Northern Ireland, where she grew up, her topics and settings range from Thanksgiving to riots in Los Angeles. Bunting's first book, The Two Giants, was published in 1971. Due to the popularity of her books with children, she has been listed as one of the Educational Paperback Association's top 100 authors.",https://en.wikipedia.org/wiki/Eve_Bunting,Middle Eastern
64,The Storyteller's Candle/La velita de los cuentos (Hardcover),Lucia M. Gonzalez,"Lucia M. Gonzalez is an Award-winning children's author and librarian. 
An accomplished storyteller, puppeteer, and children's librarian, Gonzalez started her career in library services to children in 1987 after receiving the Bachelor of Arts Degree in History from the University of California, Santa Barbara, and while pursuing her Masters in Library Science at the University of South Florida. She is the author of the award-winning bilingual books The Bossy Gallito, winner of the Pura Belpre Children's Literature Honor Medal and named one of New York Public Library's 100 Picture Books Everyone Should Know; and Se√±or Cat's Romance and Other Favorite Stories from Latin America, an Americas Award Commended Title. Gonzalez was named the 1998 Jean Key Gates Distinguished Alumna by the University of South Florida School of Library and Information Science. Her new book, The Storyteller's Candle, is a bilingual picture book illustrated by Lulu Delacre, winner of the 2008 Pura Belpre Children's Literature Honor Medal.",https://en.wikipedia.org/wiki/Lucia_M._Gonzalez,Hispanic
65,Book Fiesta!: Celebrate Children's Day/Book Day; Celebremos El dia de los ninos/El dia de los libros (Bilingual Spanish-English),Pat Mora,"Pat Mora (born in El Paso, Texas, on January 19, 1942) is an American poet and author of books for adults, teens and children.  Her grandparents came to El Paso from northern Mexico. A graduate of the University of Texas at El Paso, she received Honorary Doctorates from North Carolina State University and SUNY Buffalo, and is an Honorary Member of the American Library Association. A literacy advocate, in 1996, she founded Children's Day, Book Day, in Spanish, El dia de los ninos, El dia de los libros now celebrated across the country on April 30th.",https://en.wikipedia.org/wiki/Pat_Mora,Hispanic
66,A Single Shard (Paperback),Linda Sue Park,"Linda Sue Park (born March 25, 1960) is an American with Korean descent author who loves literature. Park published her first novel, Seesaw Girl, in 1999. She has written six children's novels and five picture books. Park's work achieved prominence when she received the prestigious 2002 Newbery Medal for her novel A Single Shard. She has written the ninth book in the 39 Clues series, Storm Warning, published on May 25, 2010.",https://en.wikipedia.org/wiki/Linda_Sue_Park,East Asian
67,Freedom Summer (Paperback),Deborah Wiles,"Deborah Wiles (born May 5, 1953, Mobile, Alabama, United States) is an award-winning children's book author. Her second novel, Each Little Bird That Sings, was a 2005 National Book Award finalist. Her documentary novel, Revolution, was a 2014 National Book Award finalist. Wiles received the PEN/Phyllis Naylor Working Writer Fellowship in 2004 and the E.B. White Read-Aloud Award in 2005. Her fiction centers on home, family, kinship, and community, and often deals with historical events (Freedom Summer/Civil Rights, the Cuban Missile Crisis, the Vietnam War), social justice issues, and childhood reactions to those events, as well as everyday childhood moments and mysteries, most taken directly from her childhood. She often says, ""I take my personal narrative and turn it into story.""",https://en.wikipedia.org/wiki/Deborah_Wiles,Black/African-American
68,Amazing Grace (Hardcover),Mary Hoffman,"Mary Lassiter Hoffman (born 1945) is a British writer and critic. She has had over 90 books published whose audiences range from children to adults. One of her best known works is the children's book Amazing Grace, which was a New York Times bestseller at 1.5 million copies and a finalist for the 1991 Kate Greenaway Medal. From 2002 to 2012, she wrote the teen fiction series Stravaganza.",https://en.wikipedia.org/wiki/Mary_Hoffman,Black/African-American
69,A Thousand Splendid Suns (Hardcover),Khaled Hosseini,"Khaled Hosseini (Persian: born March 4, 1965) is an Afghan-American novelist and physician. After graduating from college, he worked as a doctor in California, a predicament that he likened to ""an arranged marriage."" He has published three novels, most notably his 2003 debut The Kite Runner, all of which are at least partially set in Afghanistan and feature an Afghan as the protagonist. Following the success of The Kite Runner he retired from medicine to write full-time.
Hosseini was born in Kabul, Afghanistan. His father worked as a diplomat, and when Hosseini was 11 years old, the family moved to France; four years later, they applied for asylum in the United States, where he later became a citizen. Hosseini did not return to Afghanistan until 2001 at the age of 36, where he ""felt like a tourist in [his] own country"". In interviews about the experience, he admitted to sometimes feeling survivor's guilt for having been able to leave the country before the American invasion and subsequent wars.
All three of his novels became bestsellers: The Kite Runner (2003) spent 101 weeks on The New York Times Best Seller list, four of them at number one. A Thousand Splendid Suns (2007) was a Times Best Seller for 103 weeks, 15 at number one. And the Mountains Echoed (2013) debuted near the top of the Times list and remained on it for 33 weeks until January 2014.",https://en.wikipedia.org/wiki/Khaled_Hosseini,Middle Eastern
70,The Bonesetter's Daughter (Paperback),Amy Tan,"Amy Tan (born February 19, 1952) is an American writer whose works explore mother-daughter relationships and the Chinese American experience. Her novel The Joy Luck Club was adapted into a film in 1993 by director Wayne Wang.
Tan has written several other novels, including The Kitchen God's Wife, The Hundred Secret Senses, The Bonesetter's Daughter, Saving Fish from Drowning, and The Valley of Amazement. Tan's latest book is a memoir entitled Where The Past Begins: A Writer's Memoir (2017).  In addition to these, Tan has written two children's books: The Moon Lady (1992) and Sagwa, the Chinese Siamese Cat (1994), which was turned into an animated series that aired on PBS.
Despite her success, Tan has also received substantial criticism for her depictions of Chinese culture and apparent adherence to stereotypes.",https://en.wikipedia.org/wiki/Amy_Tan,East Asian
71,"Bless Me, Ultima (Paperback)",Rudolfo Anaya,"Rudolfo Anaya (born October 30, 1937) is an American author. Best known for his 1972 novel Bless Me, Ultima, Anaya is considered one of the founders of the canon of contemporary Chicano literature.",https://en.wikipedia.org/wiki/Rudolfo_Anaya,Hispanic
72,Snow Flower and the Secret Fan (Kindle Edition),Lisa See,"Lisa See is an American writer and novelist. Her books include On Gold Mountain: The One-Hundred-Year Odyssey of My Chinese-American Family (1995), a detailed account of See's family history, and the novels Flower Net (1997), The Interior (1999), Dragon Bones (2003), Snow Flower and the Secret Fan (2005), Peony in Love (2007) and Shanghai Girls (2009), which made it to the 2010 New York Times bestseller list. Both Shanghai Girls and Snow Flower and the Secret Fan received honorable mentions from the Asian/Pacific American Awards for Literature. 
See's novel, The Tea Girl of Hummingbird Lane (2017), is a powerful story about circumstances, culture, and distance. It paints an unforgettable portrait of a little known region and its people and celebrates the bond of family.
See's most recent novel, The Island of Sea Women, is a story about female friendship and family secrets on Jeju Island before, during and in the aftermath of the Korean War. It was released on March 5, 2019.
Flower Net, The Interior, and Dragon Bones make up the Red Princess mystery series. Snow Flower and the Secret Fan and Peony in Love focus on the lives of Chinese women in the 19th and 17th centuries respectively. Shanghai Girls (2009) chronicles the lives of two sisters who come to Los Angeles in arranged marriages and face, among other things, the pressures put on Chinese-Americans during the anti-Communist mania of the 1950s. See completed a sequel titled Dreams of Joy, released in May 2011. China Dolls (June 2014) deals with Chinese American nightclub performers of the 1930s and 1940s. Her latest novel is The Tea Girl of Hummingbird Lane (2017), about the Akha people of Xishuangbanna, China.
Writing under the pen name Monica Highland, See, her mother Carolyn See, and John Espey, published two novels: Lotus Land (1983), 110 Shanghai Road (1986), and Greetings from Southern California (1988), a collection of early 20th Century postcards and commentary on the history they represent. She has a personal essay (""The Funeral Banquet"") included in the anthology Half and Half.See has donated her personal papers (1973-2001) to UCLA. During the 2012 Golden Dragon Chinese New Year Parade in Los Angeles Chinatown, See served as the Grand Marshal.",https://en.wikipedia.org/wiki/Lisa_See,East Asian
73,Saving Fish from Drowning (Paperback),Amy Tan,"Amy Tan (born February 19, 1952) is an American writer whose works explore mother-daughter relationships and the Chinese American experience. Her novel The Joy Luck Club was adapted into a film in 1993 by director Wayne Wang.
Tan has written several other novels, including The Kitchen God's Wife, The Hundred Secret Senses, The Bonesetter's Daughter, Saving Fish from Drowning, and The Valley of Amazement. Tan's latest book is a memoir entitled Where The Past Begins: A Writer's Memoir (2017).  In addition to these, Tan has written two children's books: The Moon Lady (1992) and Sagwa, the Chinese Siamese Cat (1994), which was turned into an animated series that aired on PBS.
Despite her success, Tan has also received substantial criticism for her depictions of Chinese culture and apparent adherence to stereotypes.",https://en.wikipedia.org/wiki/Amy_Tan,East Asian
74,Like Water for Chocolate (Paperback),Laura Esquivel,"Laura Esquivel (born September 30, 1950) is a Mexican novelist, screenwriter and a politician who serves in the Chamber of Deputies (2012-2018) for the Morena Party. Her first novel Como agua para chocolate (Like Water for Chocolate) became a bestseller in Mexico and the United States, and was later developed into an award-winning film.",https://en.wikipedia.org/wiki/Laura_Esquivel,Hispanic
75,The Kitchen God's Wife (Paperback),Amy Tan,"Amy Tan (born February 19, 1952) is an American writer whose works explore mother-daughter relationships and the Chinese American experience. Her novel The Joy Luck Club was adapted into a film in 1993 by director Wayne Wang.
Tan has written several other novels, including The Kitchen God's Wife, The Hundred Secret Senses, The Bonesetter's Daughter, Saving Fish from Drowning, and The Valley of Amazement. Tan's latest book is a memoir entitled Where The Past Begins: A Writer's Memoir (2017).  In addition to these, Tan has written two children's books: The Moon Lady (1992) and Sagwa, the Chinese Siamese Cat (1994), which was turned into an animated series that aired on PBS.
Despite her success, Tan has also received substantial criticism for her depictions of Chinese culture and apparent adherence to stereotypes.",https://en.wikipedia.org/wiki/Amy_Tan,East Asian
76,The God of Small Things (Hardcover),Arundhati Roy,"Suzanna Arundhati Roy (born 24 November 1961) is an Indian author best known for her novel The God of Small Things (1997), which won the Man Booker Prize for Fiction in 1997 and became the biggest-selling book by a non-expatriate Indian author. She is also a political activist involved in human rights and environmental causes.",https://en.wikipedia.org/wiki/Arundhati_Roy,South Asian
77,The Hundred Secret Senses (Paperback),Amy Tan,"Amy Tan (born February 19, 1952) is an American writer whose works explore mother-daughter relationships and the Chinese American experience. Her novel The Joy Luck Club was adapted into a film in 1993 by director Wayne Wang.
Tan has written several other novels, including The Kitchen God's Wife, The Hundred Secret Senses, The Bonesetter's Daughter, Saving Fish from Drowning, and The Valley of Amazement. Tan's latest book is a memoir entitled Where The Past Begins: A Writer's Memoir (2017).  In addition to these, Tan has written two children's books: The Moon Lady (1992) and Sagwa, the Chinese Siamese Cat (1994), which was turned into an animated series that aired on PBS.
Despite her success, Tan has also received substantial criticism for her depictions of Chinese culture and apparent adherence to stereotypes.",https://en.wikipedia.org/wiki/Amy_Tan,East Asian
78,Interpreter of Maladies (Paperback),Jhumpa Lahiri,"Nilanjana Sudeshna ""Jhumpa"" Lahiri (born July 11, 1967) is an American author known for her short stories, novels and essays in English, and, more recently, in Italian. 
Her debut collection of short-stories Interpreter of Maladies (1999) won the Pulitzer Prize for Fiction and the PEN/Hemingway Award, and her first novel, The Namesake (2003), was adapted into the popular film of the same name. Her second story collection Unaccustomed Earth (2008) won the Frank O'Connor International Short Story Award, while her second novel, The Lowland (2013), was a finalist for both the Man Booker Prize and the National Book Award for Fiction. In these works, Lahiri explored the  Indian-immigrant experience in America. In 2011, Lahiri moved to Rome, Italy and has since then published two books of essays, and has a forthcoming novel, written in Italian. She has also translated some of her own writings and those of other authors from Italian into English.In 2014, Lahiri was awarded the National Humanities Medal. She is currently a professor of creative writing at Princeton University.",https://en.wikipedia.org/wiki/Jhumpa_Lahiri,South Asian
79,The Legend of the Bluebonnet (Paperback),Tomie dePaola,"Thomas Anthony ""Tomie"" dePaola  (born September 15, 1934) is an American writer and illustrator who has created more than 260 children's books such as Strega Nona. He received the Children's Literature Legacy Award for his lifetime contribution to American children's literature in 2011.Though not as well known as for illustrations of children's books, DePaola has also produced significant works of fine art, several of which in locations that are accessible for viewing.  These works include the simple, yet very elegant, series of fourteen Stations of the Cross and a depiction of St. Benedict holding the ""Rule for Monasteries"" with a monastery in the background that reside in the Abbey Church of Our Lady of Glastonbury in Hingham, Massachusetts.  He also painted a set of frescoes in the refectory (monks' dining room) of the same abbey, normally open only to the congregation after the abbey's conventual Sunday masses during cool or inclement weather.  (This coffee hour takes place in the arbor across the parking lot from the church, the refectory thus remaining closed to visitors, when weather permits.)",https://en.wikipedia.org/wiki/Tomie_dePaola,Native American
80,The Talking Eggs (Hardcover),Robert D. San Souci,"Robert Daniel San Souci (October 10, 1946  December 19, 2014) was a multiple award-winning children's book author, who resided in San Francisco, California. He often worked with his brother, Daniel San Souci, a children's book illustrator. He was a consultant to Disney Studios and was instrumental in the production of the film Mulan, for which he wrote the story. He studied folklore in graduate school.  He died after suffering a head injury while falling from a high height in San Francisco in December 2014.",https://en.wikipedia.org/wiki/Robert_D._San_Souci,Black/African-American
81,black is brown is tan (Paperback),Arnold Adoff,"Arnold Adoff (born July 16, 1935, in Bronx, New York) is an American children's writer. In 1988, the National Council of Teachers of English gave Adoff the Award for Excellence in Poetry for Children. He has said, ""I will always try to turn sights and sounds into words. I will always try to shape words into my singing poems.""",https://en.wikipedia.org/wiki/Arnold_Adoff,Other
82,Maybe Something Beautiful: How Art Transformed a Neighborhood (Hardcover),F. Isabel Campoy,"Isabel Campoy (born June 25, 1946 in Alicante, Spain) is an author of children's books, poetry, and pedagogical resources. Central to Campoy's work is the promotion of bilingual education.",https://en.wikipedia.org/wiki/Isabel_Campoy,Hispanic
83,A Family Is a Family Is a Family (Hardcover),Sara O'Leary,"Sara O'Leary is a Canadian writer. She has published fiction, children's books, plays, and reviews. She is married to the poet and academic Daniel O'Leary and they have two sons. She holds an MA in English and Creative Writing from Concordia University in Montreal and an MFA with a specialization in Screenwriting from the Program in Theatre, Film and Creative Writing at the University of British Columbia.Her picture book, This is Sadie, was adapted for the stage by Barbara Zinn Krieger for New York City Children's Theater. The production, directed and choreographed by Stephanie Klemons, was deemed ""beguiling"" by the New York Times.  O'Leary also blogs about children's literature at 123oleary. She currently teaches at Concordia University in Montreal.",https://en.wikipedia.org/wiki/Sara_O%27Leary,Other
84,The Seven Princesses (Hardcover),Smiljana Coh,"Smiljana Coh: No information available.
",No URL available,Other
85,A Different Pond (Hardcover),Bao Phi,"Bao Phi is a Vietnamese American spoken word artist, writer and community activist living in Minnesota.",https://en.wikipedia.org/wiki/Bao_Phi,East Asian
86,The Epic Fail of Arturo Zamora (Hardcover),Pablo Cartaya,"Pablo Cartaya: No information available.
",No URL available,Hispanic
87,Funny Bones: Posada and His Day of the Dead Calaveras (Hardcover),Duncan Tonatiuh,"Duncan Tonatiuh (born in Mexico City, Mexico) is a Mexican-American author and illustrator of several award-winning children's books. The illustrations in his books are influenced by Pre-Columbian art.  The themes in his stories relate to the Latino experience, with subjects that include social justice issues, art, history, and immigration.  He is an advocate and activist for workers' rights.",https://en.wikipedia.org/wiki/Duncan_Tonatiuh,Hispanic
88,One Hen: How One Small Loan Made a Big Difference (Hardcover),Katie Smith Milway,"Katie Smith Milway: No information available.
",No URL available,Black/African-American
89,In the Footsteps of Crazy Horse (Hardcover),Joseph M. Marshall III,"Joseph M. Marshall III  is a historian, writer, teacher, craftsman, administrator, actor, and public speaker. He was a founding board member in 1971 of Sinte Gleska University, the tribal college at the Rosebud Indian Reservation.
Marshall has published numerous non-fiction books based on Lakota oral history and culture. His book, The Day the World Ended at Little Bighorn, won the 2008 PEN/Beyond Margins Award.",https://en.wikipedia.org/wiki/Joseph_M._Marshall_III,Native American
90,The Butterfly (Hardcover),Patricia Polacco,"Patricia Barber Polacco (born July 11, 1944, Lansing, Michigan) is an American author and illustrator. Throughout her school years, Polacco struggled with reading but found relief by expressing herself through art. Polacco endured teasing and hid her disability until a school teacher recognized that she could not read and began to help her. Her book Thank You, Mr. Falker is Polacco's retelling of this encounter and its outcome. She also wrote such books as Mr. Lincoln's Way and The Lemonade Club.",https://en.wikipedia.org/wiki/Patricia_Polacco,Western European
91,Rickshaw Girl (Hardcover),Mitali Perkins,"Mitali Perkins: No information available.
",No URL available,South Asian
92,In Our Mothers' House (Hardcover),Patricia Polacco,"Patricia Barber Polacco (born July 11, 1944, Lansing, Michigan) is an American author and illustrator. Throughout her school years, Polacco struggled with reading but found relief by expressing herself through art. Polacco endured teasing and hid her disability until a school teacher recognized that she could not read and began to help her. Her book Thank You, Mr. Falker is Polacco's retelling of this encounter and its outcome. She also wrote such books as Mr. Lincoln's Way and The Lemonade Club.",https://en.wikipedia.org/wiki/Patricia_Polacco,Other
93,"Akata Witch (Akata Witch, #1)",Nnedi Okorafor,"Nnedi Okorafor (full name: Nnedimma Nkemdili Okorafor; previously known as Nnedi Okorafor-Mbachu; translated from Igbo into English as ""mother is good""; born April 8, 1974) is a Nigerian-American writer of fantasy and science fiction for both children and adults. She is best known for Binti, Who Fears Death, Zahrah the Windseeker, and Akata Witch.",https://en.wikipedia.org/wiki/Nnedi_Okorafor,Black/African-American
94,Little Roja Riding Hood (Hardcover),Susan Middleton Elya,"Susan Middleton Elya: No information available.
",No URL available,Hispanic
95,The Boy Who Harnessed the Wind (Hardcover),William Kamkwamba,"William Kamkwamba (born 5 August 1987) is a Malawian innovator, engineer and author. He gained fame in his country in 2006 when he built a wind turbine to power multiple electrical appliances in his family's house in Wimbe, 32 km (20 mi) east of Kasungu, using blue gum trees, bicycle parts, and materials collected in a local scrapyard. Since then, he has built a solar-powered water pump that supplies the first drinking water in his village and two other wind turbines, the tallest standing at 12 meters (39 ft), and is planning two more, including one in Lilongwe, the political capital of Malawi.",https://en.wikipedia.org/wiki/William_Kamkwamba,Black/African-American
96,Mixed Me! (Hardcover),Taye Diggs,"Scott Leo ""Taye"" Diggs (born January 2, 1971) is an American actor and singer. He is known for his roles in the Broadway musicals Rent and Hedwig and the Angry Inch, the TV series Private Practice, the films How Stella Got Her Groove Back, Brown Sugar, The Best Man and its sequel, The Best Man Holiday. Between 2014 and 2016 he starred as Inspector Terry English in Murder in the First.",https://en.wikipedia.org/wiki/Taye_Diggs,Other
97,The Crossover (ebook),Kwame Alexander,"Kwame Alexander  is an American writer of poetry and children's fiction. His verse novel The Crossover won the 2015 Newbery Medal recognizing the year's ""most distinguished contribution to American literature for children."" 
It was also selected as an Honor book for the Coretta Scott King Award. 
His picture book Acoustic Rooster and His Barnyard Band, was selected for the 2014 ""Michigan Reads! One State, One Children's Book"" program.",https://en.wikipedia.org/wiki/Kwame_Alexander,Black/African-American
98,"Chains (Seeds of America, #1)",Laurie Halse Anderson,"Laurie Halse Anderson is an American writer, known for children's and young adult novels. She received the Margaret A. Edwards Award from the American Library Association in 2010 for her contribution to young adult literature.She was first recognized for her novel Speak, published in 1999.",https://en.wikipedia.org/wiki/Laurie_Halse_Anderson,Black/African-American
99,"Listen, Slowly (Hardcover)",Thanhha Lai,"Thanhha Lai (born 1965) is a Vietnam-born American writer of children's literature. She won the 2011 National Book Award for Young People's Literature
and a Newbery Honor for her debut novel, Inside Out & Back Again, published by HarperCollins.",https://en.wikipedia.org/wiki/Thanhha_Lai,East Asian
100,Sweet Clara and the Freedom Quilt (Paperback),Deborah Hopkinson,"Deborah Hopkinson is an American writer of children's books, primarily historical fiction, nonfiction and picture books. She was born in Lowell, Massachusetts.",https://en.wikipedia.org/wiki/Deborah_Hopkinson,Black/African-American
